titre,entreprise,localisation,salaire,date_publication,description
Conseiller de Vente - CDI 35H - Boutique H/F,Tara Jarmon,Nice - 06,,2025-12-16 17:08:30.245958,"Conseiller de Vente - CDI 35H - Boutique H/F à Nice - 06, chez Tara Jarmon, pour un CDI, en temps plein"
Poseur de Menuiserie H/F,Art & Fenêtres,Cusset - Vichy - 03,1 850 - 3 000 € / mois,2025-12-16 17:08:30.246736,"Poseur de Menuiserie H/F à Cusset - Vichy - 03, chez Art & Fenêtres, pour un CDI, avec un salaire de 1 850 - 3 000 € / mois, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Tours - 37,2 081 - 4 581 € / mois,2025-12-16 16:08:30.247158,"Animateur Commercial Multi-Sites H/F à Tours - 37, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Conseiller Commercial - Saint Chamond H/F,Groupama Rhône Alpes Auvergne,Saint-Chamond - 42,,2025-12-16 17:08:30.247520,"Conseiller Commercial - Saint Chamond H/F à Saint-Chamond - 42, chez Groupama Rhône Alpes Auvergne, pour un CDI, en temps plein"
Customer Success H/F,Airria,Meylan - 38,,2025-12-16 17:08:30.247854,"Customer Success H/F à Meylan - 38, chez Airria, pour un CDI, en temps plein"
Chef de Projet - Génie des Procédés H/F,Sugar Consulting,Solaize - 69,45 000 - 60 000 € / an,2025-12-16 17:08:30.248221,"Chef de Projet - Génie des Procédés H/F à Solaize - 69, chez Sugar Consulting, pour un CDI, avec un salaire de 45 000 - 60 000 € / an, en temps plein"
Manager Commercial H/F,123 Pare-Brise,Nord - 59,2 524 - 4 000 € / mois,2025-12-16 17:08:30.248613,"Manager Commercial H/F à Nord - 59, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 524 - 4 000 € / mois, en temps plein"
Électricien Tertiaire - Industriel H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 17 € / heure,2025-12-16 17:08:30.249039,"Électricien Tertiaire - Industriel H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 17 € / heure, en temps plein"
Technicien BE H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 16 € / heure,2025-12-16 17:08:30.249508,"Technicien BE H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 16 € / heure, en temps plein"
Commercial RHF-Drome H/F,Gineys,Valence - 26,1 900 - 2 300 € / mois,2025-12-16 17:08:30.249904,"Commercial RHF-Drome H/F à Valence - 26, chez Gineys, pour un CDI, avec un salaire de 1 900 - 2 300 € / mois, en temps plein, Télétravail occasionnel"
Responsable Commercial Grands Comptes H/F,Ocea Smart Building,Créteil - 94,,2025-12-16 17:08:30.250236,"Responsable Commercial Grands Comptes H/F à Créteil - 94, chez Ocea Smart Building, pour un CDI, en temps plein"
Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F,Zapa,Nantes - 44,,2025-12-16 17:08:30.250758,"Conseiller de Vente - CDI - 10H00 - Galeries Lafayette H/F à Nantes - 44, chez Zapa, pour un CDI, en temps partiel"
Responsable de Projet Etudes Amonts - Système Combattant H/F,Safran,Massy - 91,,2025-12-16 17:08:30.251174,"Responsable de Projet Etudes Amonts - Système Combattant H/F à Massy - 91, chez Safran, pour un CDI, en temps plein"
Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 17:08:30.251536,"Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F,Zapa,Paris 8e - 75,,2025-12-16 17:08:30.251873,"ConseillerEre de Vente - CDI 21H - Corner - Printemps Nation H/F à Paris 8e - 75, chez Zapa, pour un CDI, en temps partiel"
Conseiller de Vente - CDI 35H - Boutique H/F,Zapa,Cannes - 06,,2025-12-16 17:08:30.252204,"Conseiller de Vente - CDI 35H - Boutique H/F à Cannes - 06, chez Zapa, pour un CDI, en temps plein"
Animateur Commercial H/F,123 Pare-Brise,Mérignac - 33,2 091 - 3 800 € / mois,2025-12-16 17:08:30.252703,"Animateur Commercial H/F à Mérignac - 33, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 091 - 3 800 € / mois, en temps plein"
Moniteur Boucherie H/F,Solve Recrutement,Mulhouse - 68,45 000 - 55 000 € / an,2025-12-16 17:08:30.253139,"Moniteur Boucherie H/F à Mulhouse - 68, chez Solve Recrutement, pour un CDI, avec un salaire de 45 000 - 55 000 € / an, en temps plein"
Responsable des Experts Multi Spécialistes H/F,Stelliant,Rennes - 35,50 000 € / an,2025-12-16 17:08:30.253500,"Responsable des Experts Multi Spécialistes H/F à Rennes - 35, chez Stelliant, pour un CDI, avec un salaire de 50 000 € / an, en temps plein"
Mécanicien Automobile H/F,Feu Vert,Saint-Grégoire - 35,1 900 - 2 500 € / mois,2025-12-16 17:08:30.254022,"Mécanicien Automobile H/F à Saint-Grégoire - 35, chez Feu Vert, super recruteur, pour un CDI, avec un salaire de 1 900 - 2 500 € / mois, en temps plein"
Technicien Alarme H/F,Securitas Technology,Narbonne - 11,2 200 - 2 800 € / mois,2025-12-16 17:08:30.254524,"Technicien Alarme H/F à Narbonne - 11, chez Securitas Technology, super recruteur, pour un CDI, avec un salaire de 2 200 - 2 800 € / mois, en temps plein"
Auxiliaire de Vie Robion - Taillades H/F,APEF,Robion - Taillades - 84,11,2025-12-16 16:08:30.254869,"Auxiliaire de Vie Robion - Taillades H/F à Robion - Taillades - 84, chez APEF, pour un CDI, avec un salaire de 11,93 - 12,37 € / heure, en temps partiel"
Cuisinier H/F,COMPASS GROUP,Ustaritz - 64,,2025-12-16 16:08:30.255198,"Cuisinier H/F à Ustaritz - 64, chez COMPASS GROUP, pour un CDI, en temps plein"
Vendeur Polyvalent 35H - CDI Temps Plein H/F,Naturalia France,Nantes - 44,1 829,2025-12-16 16:08:30.255534,"Vendeur Polyvalent 35H - CDI Temps Plein H/F à Nantes - 44, chez Naturalia France, pour un CDI, avec un salaire de 1 829,54 € / mois, en temps plein"
Chef Gérant H/F,COMPASS GROUP,Foulayronnes - 47,,2025-12-16 16:08:30.255861,"Chef Gérant H/F à Foulayronnes - 47, chez COMPASS GROUP, pour un CDI, en temps plein"
Cuisinier H/F,COMPASS GROUP,Saint-Aubin-Routot - 76,,2025-12-16 16:08:30.256243,"Cuisinier H/F à Saint-Aubin-Routot - 76, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Marseille 9e - 13,,2025-12-16 16:08:30.256579,"Second de Cuisine H/F à Marseille 9e - 13, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Talence - 33,,2025-12-16 16:08:30.256903,"Second de Cuisine H/F à Talence - 33, chez COMPASS GROUP, pour un CDI, en temps plein"
Animateur Commercial Multi-Sites H/F,123 Pare-Brise,Poitiers - 86,2 081 - 4 581 € / mois,2025-12-16 16:08:30.257249,"Animateur Commercial Multi-Sites H/F à Poitiers - 86, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 081 - 4 581 € / mois, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Bruay-la-Buissière - 62,2 500 - 2 800 € / mois,2025-12-16 16:08:30.257606,"Technicien Vitrage Itinérant H/F à Bruay-la-Buissière - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Technico Commercial Itinérant H/F,Richardson.,Bordeaux - 33,,2025-12-16 15:08:33.768634,"Technico Commercial Itinérant H/F à Bordeaux - 33, chez Richardson., pour un CDI, en temps plein"
Juriste Pôle Ouvertures - CDI H/F,MAF - Mutuelle des Architectes Français,Paris 17e - 75,,2025-12-16 16:08:33.769269,"Juriste Pôle Ouvertures - CDI H/F à Paris 17e - 75, chez MAF - Mutuelle des Architectes Français, pour un CDI, en temps plein, Télétravail partiel"
Conducteur SPL Zone Longue avec Adr H/F,GEODIS,Sainte-Hélène-du-Lac - 73,,2025-12-16 16:08:33.769629,"Conducteur SPL Zone Longue avec Adr H/F à Sainte-Hélène-du-Lac - 73, chez GEODIS, pour un CDI, en temps plein"
Chef Gérant H/F,COMPASS GROUP,Foulayronnes - 47,,2025-12-16 16:08:33.769968,"Chef Gérant H/F à Foulayronnes - 47, chez COMPASS GROUP, pour un CDI, en temps plein"
Cuisinier H/F,COMPASS GROUP,Saint-Aubin-Routot - 76,,2025-12-16 16:08:33.770297,"Cuisinier H/F à Saint-Aubin-Routot - 76, chez COMPASS GROUP, pour un CDI, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Marseille 9e - 13,,2025-12-16 16:08:33.770632,"Second de Cuisine H/F à Marseille 9e - 13, chez COMPASS GROUP, pour un CDI, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Bruay-la-Buissière - 62,2 500 - 2 800 € / mois,2025-12-16 16:08:33.770985,"Technicien Vitrage Itinérant H/F à Bruay-la-Buissière - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Technicien Vitrage Itinérant H/F,123 Pare-Brise,Béthune - 62,2 500 - 2 800 € / mois,2025-12-16 16:08:33.771341,"Technicien Vitrage Itinérant H/F à Béthune - 62, chez 123 Pare-Brise, super recruteur, pour un CDI, avec un salaire de 2 500 - 2 800 € / mois, en temps plein"
Second de Cuisine H/F,COMPASS GROUP,Talence - 33,,2025-12-16 16:08:33.771667,"Second de Cuisine H/F à Talence - 33, chez COMPASS GROUP, pour un CDI, en temps plein"
Technicien Alarme H/F,Securitas Technology,Narbonne - 11,2 200 - 2 800 € / mois,2025-12-16 17:08:33.772014,"Technicien Alarme H/F à Narbonne - 11, chez Securitas Technology, super recruteur, pour un CDI, avec un salaire de 2 200 - 2 800 € / mois, en temps plein"
Électricien Tertiaire - Industriel H/F,Squiban Group,Plougastel-Daoulas - 29,13 - 17 € / heure,2025-12-16 17:08:33.772420,"Électricien Tertiaire - Industriel H/F à Plougastel-Daoulas - 29, chez Squiban Group, super recruteur, pour un CDI, avec un salaire de 13 - 17 € / heure, en temps plein"
